OpCode,Frame,Time first seen (mins),TapeReader,Depth,Family,Genus,Species,Code,Stage
FP_201_ASH064,47718,26.5365,CWS,7.9,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH064,86834,48.2894,CWS,7.9,Carcharhinidae,Triaenodon,obesus,37018038,AD
FP_201_ASH064,44453,24.7208,CWS,7.9,Cirrhitidae,Paracirrhites,forsteri,37374010,AD
FP_201_ASH064,2543,1.4142,CWS,7.9,Labridae,Halichoeres,hortulanus,37384112,AD
FP_201_ASH064,47718,26.5365,CWS,7.9,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH064,75507,41.9903,CWS,7.9,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH064,15125,8.4112,CWS,7.9,Lethrinidae,Lethrinus,ravus,37351031,AD
FP_201_ASH064,3134,1.7429,CWS,7.9,Lutjanidae,Lutjanus,bohar,37346029,J
FP_201_ASH064,2543,1.4142,CWS,7.9,Lutjanidae,Lutjanus,decussatus,37346041,AD
FP_201_ASH064,80537,44.7876,CWS,7.9,Lutjanidae,Lutjanus,gibbus,37346028,AD
FP_201_ASH064,18313,10.1841,CWS,7.9,Lutjanidae,Lutjanus,rivulatus,37346016,AD
FP_201_ASH064,56684,31.5226,CWS,7.9,Serranidae,Aethaloperca,rogaa,37311134,AD
FP_201_ASH064,3743,2.0815,CWS,7.9,Serranidae,Cephalopholis,argus,37311082,AD
FP_201_ASH064,3517,1.9558,CWS,7.9,Serranidae,Cephalopholis,urodeta,37311142,AD
FP_201_ASH064,69366,38.5752,CWS,7.9,Serranidae,Epinephelus,fuscoguttatus,37311021,AD
FP_201_ASH064,91341,50.7958,CWS,7.9,Serranidae,Variola,albimarginata,37311026,AD
FP_201_ASH068,30657,17.0487,CWS,27.1,Carangidae,Carangoides,ferdau,37337068,AD
FP_201_ASH068,25770,14.331,CWS,27.1,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH068,37154,20.6618,CWS,27.1,Carangidae,Carangoides,plagiotaenia,37337070,AD
FP_201_ASH068,57533,31.9948,CWS,27.1,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH068,74081,41.1973,CWS,27.1,Dasyatidae,Dasyatis,kuhlii,37035004,AD
FP_201_ASH068,21390,11.8952,CWS,27.1,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH068,18763,10.4343,CWS,27.1,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH068,41097,22.8545,CWS,27.1,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH068,16006,8.9011,CWS,27.1,Myliobatidae,Aetobatus,narinari,37039003,AD
FP_201_ASH068,88391,49.1553,CWS,27.1,Rhynchobatidae,Rhynchobatus,laevis,37026003,AD
FP_201_ASH088,85505,47.5503,CWS,32,Carangidae,Caranx,ignobilis,37337027,AD
FP_201_ASH088,88300,49.1047,CWS,32,Carangidae,Gnathanodon,speciosus,37337012,AD
FP_201_ASH088,73467,40.8559,CWS,32,Carcharhinidae,Galeocerdo,cuvier,37018022,AD
FP_201_ASH088,38077,21.1751,CWS,32,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH088,53039,29.4956,CWS,32,Rachycentridae,Rachycentron,canadum,37335001,AD
FP_201_ASH088,52931,29.4355,CWS,32,Rhinidae,Rhynchobatus,,,AD
FP_201_ASH088,91374,50.8141,CWS,32,Rhinidae,Rhynchobatus,,,F
FP_201_ASH088,83534,46.4542,CWS,32,Stegostomatidae,Stegostoma,fasciatum,37013006,AD
FP_201_ASH105,59494,33.0853,"CWS, BV",32.6,Echeneidae,Echeneis,naucrates,37336001,AD
FP_201_ASH105,12212,6.7912,"CWS, BV",32.6,Lutjanidae,Lutjanus,vitta,37346003,J
FP_201_ASH108,65181,36.2479,CWS,27,Carangidae,Carangoides,gymnostethus,37337022,AD
FP_201_ASH108,38997,21.6867,CWS,27,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH108,43867,24.395,CWS,27,Carangidae,Caranx,melampygus,37337050,AD
FP_201_ASH108,25495,14.1781,CWS,27,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH108,23642,13.1476,CWS,27,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH108,20687,11.5043,CWS,27,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH108,39003,21.69,CWS,27,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH108,28336,15.758,CWS,27,Scombridae,Scomberomorus,commerson,37441007,AD
FP_201_ASH112,106339,59.1364,CWS,25.9,Carangidae,Carangoides,orthogrammus,37337057,AD
FP_201_ASH112,99335,55.2414,CWS,25.9,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,AD
FP_201_ASH112,10274,5.7135,CWS,25.9,Lethrinidae,Gymnocranius,grandoculis,37351005,AD
FP_201_ASH112,19348,10.7596,CWS,25.9,Lethrinidae,Lethrinus,microdon,37351011,AD
FP_201_ASH112,41122,22.8684,CWS,25.9,Lethrinidae,Lethrinus,olivaceus,37351004,AD
FP_201_ASH112,19864,11.0466,CWS,25.9,Lethrinidae,Lethrinus,rubrioperculatus,37351012,AD
FP_201_ASH112,19864,11.0466,CWS,25.9,Lutjanidae,Aprion,virescens,37346027,AD
FP_201_ASH112,82894,46.0983,CWS,25.9,Lutjanidae,Lutjanus,bohar,37346029,AD
